user_id,music_id,rating
37,1316,4.0
2,1451,1.1
21,1439,4.1
41,2063,3.7
6,2092,1.4
40,1416,2.6
8,1450,4.1
21,1658,3.3
10,1107,4.8
29,1634,2.6
33,1464,4.2
45,2085,3.0
9,1365,2.3
1,1918,2.3
21,1247,2.9
22,1299,4.1
19,1740,2.1
38,1530,1.1
7,1769,3.6
26,1691,4.4
30,2075,3.5
18,1667,1.1
8,1316,4.7
15,1289,2.2
16,1564,1.2
28,1993,4.7
19,1622,3.4
9,1331,1.8
1,1400,3.4
45,1808,1.1
48,1640,2.1
20,1227,4.9
49,1126,1.9
25,1119,4.8
42,1876,4.9
20,1948,2.4
9,1079,4.9
12,1101,4.8
19,1692,1.3
29,1225,3.3
15,1330,1.5
6,1141,2.7
47,2030,2.2
26,1416,2.7
7,1391,3.0
39,1249,3.7
49,1922,3.6
36,1591,2.1
15,1844,2.7
21,1259,1.4
38,1737,3.5
26,1800,2.9
14,1938,2.9
44,1580,2.8
3,1777,2.6
10,1816,3.8
15,1804,3.2
8,1788,2.6
17,2009,2.3
4,1561,1.2
16,1611,3.7
33,1047,3.4
20,1079,4.9
27,1378,1.3
6,1057,3.9
6,1121,3.1
17,2074,4.4
1,1129,2.6
41,1381,4.7
43,1751,3.2
5,1002,4.6
43,1593,3.1
14,1129,3.8
46,1748,4.3
48,1906,1.6
20,2035,1.8
30,2004,4.7
5,1804,3.9
12,1345,3.3
39,1172,2.0
18,1006,1.9
41,1013,4.8
38,1536,2.0
47,1652,2.0
46,1328,3.8
13,2055,3.6
29,1749,3.2
18,1077,4.9
45,1916,2.1
41,1363,2.4
40,2032,1.9
18,1674,2.8
46,1948,1.7
18,1390,2.4
43,1448,2.6
10,1282,3.4
23,1377,3.5
23,1494,2.3
29,1208,4.0
49,1176,1.3
19,1966,3.1
20,1052,3.5
35,1007,4.4
44,1105,2.4
39,1360,1.9
5,1731,1.1
18,1938,2.5
7,1306,3.5
6,1201,4.8
18,1210,1.9
15,1165,3.8
42,1212,2.2
33,1527,1.8
21,1571,4.4
31,1212,2.0
23,1266,3.3
49,1647,2.1
17,1611,2.4
9,1430,4.8
1,1071,1.9
26,1268,3.8
24,1279,4.4
4,1216,1.1
44,1830,3.9
4,1093,1.3
49,1693,4.9
43,1525,1.0
35,1757,1.8
43,1129,1.3
38,1981,2.2
19,1229,1.7
41,1309,4.9
23,1020,3.8
40,2081,1.4
23,1834,3.8
29,1808,2.5
1,2017,3.3
35,2087,2.3
2,1669,3.1
14,1102,4.0
18,1917,4.5
15,1167,3.5
43,1085,4.4
2,1683,2.8
48,2008,2.2
12,1531,4.0
3,1417,2.6
39,1804,4.8
43,1579,3.0
41,1394,4.2
38,1576,3.9
16,2053,4.8
9,1719,1.8
25,1242,3.8
16,1407,4.5
19,1599,1.5
44,1931,4.0
28,1735,3.4
6,2008,3.5
17,1703,2.8
34,1414,4.0
10,1834,3.3
1,1732,1.2
13,1105,2.1
46,1025,4.7
41,1622,4.5
17,1451,2.5
12,1730,2.3
31,1968,1.1
14,2041,2.8
2,1725,1.7
23,1535,1.2
35,1128,2.1
38,1684,2.4
44,1539,3.5
41,1373,1.8
4,1627,4.4
31,1104,1.3
38,1068,2.4
47,1923,3.1
5,1373,3.1
37,2074,3.6
30,1286,3.0
30,1919,3.3
11,1486,3.8
24,1150,1.8
13,1154,2.4
19,1709,4.5
12,1003,4.2
38,1135,1.7
7,1392,2.1
48,1829,2.5
20,1212,2.8
11,1087,3.2
4,1395,4.4
13,1742,2.7
25,1658,1.8
36,1352,3.0
22,1975,1.8
22,1361,3.8
3,1876,1.2
46,1890,3.5
43,1801,4.9
1,1089,3.1
22,1243,2.4
9,1934,2.6
32,2058,2.2
11,1800,4.6
6,1308,1.8
34,2041,3.0
47,1486,3.3
18,1864,2.9
4,1231,1.8
12,1516,4.3
14,2089,2.6
3,1085,3.3
5,1821,4.2
5,1873,1.7
23,1908,4.1
41,1963,4.4
39,1523,1.9
46,1362,2.8
33,1658,3.7
7,1756,4.3
16,2051,4.5
49,1419,1.7
36,1098,2.3
47,1452,1.2
49,1662,2.1
32,1632,2.3
49,1384,1.9
36,1418,4.5
11,1128,4.2
39,2012,4.7
31,1651,4.4
8,1234,4.0
10,1249,2.2
34,1776,1.1
16,1143,3.0
13,1109,3.6
11,2055,3.5
19,2026,4.6
22,1811,2.6
38,1563,2.9
5,1898,1.2
49,1951,3.0
26,1552,1.9
28,1875,1.9
35,1290,2.9
18,1924,4.7
19,1346,1.3
11,2047,1.6
15,1770,4.1
42,1251,3.1
4,1664,4.9
36,1197,1.5
18,1607,4.2
7,1501,1.8
15,1749,1.6
20,1203,4.8
36,1764,3.7
41,1116,2.8
16,1610,1.1
42,1130,3.9
28,1499,1.4
49,1488,2.3
19,1247,4.5
24,1507,2.1
10,2020,1.9
44,1875,4.9
14,1370,1.8
21,1275,3.4
46,1350,3.6
12,1207,3.8
44,1564,2.8
46,1477,3.7
17,1217,3.9
41,1683,4.6
22,1792,3.9
16,1779,4.1
24,1105,2.5
46,1484,2.7
2,1401,2.6
31,2027,4.6
8,1834,4.4
21,1940,3.4
29,2046,3.3
46,1335,2.5
43,1693,2.0
26,1412,2.9
49,2098,3.4
30,1527,2.4
42,1908,4.0
48,1542,2.0
41,1629,2.5
26,1103,2.8
30,1374,4.0
22,2059,3.5
49,1265,2.5
26,1118,2.3
18,2018,4.4
42,1655,1.1
10,1866,3.9
5,1734,1.4
34,1338,3.3
40,1650,3.4
26,1440,2.8
7,2003,4.3
31,1924,4.8
19,1192,3.3
31,1998,1.2
33,1611,2.3
1,1364,4.4
26,1786,3.4
5,1692,1.7
31,1383,2.6
2,2098,2.3
16,1457,1.7
47,1475,3.1
2,1602,3.0
10,1382,1.2
13,1219,2.7
13,1900,4.0
45,1379,1.6
13,1461,3.1
18,1439,4.8
41,1651,3.8
45,1516,4.9
44,1894,2.9
16,1052,4.3
42,1384,1.2
11,1218,1.0
24,1143,1.7
8,1497,4.2
41,1704,3.3
46,1229,4.6
46,1170,3.7
36,1830,3.5
33,1784,4.8
28,1821,1.6
2,1311,1.6
45,1244,2.8
18,1238,1.4
42,1990,4.1
1,1404,2.1
7,1289,2.9
38,1888,4.8
8,1367,2.2
25,1948,4.6
29,1926,4.9
24,1464,3.6
37,1266,4.4
35,1544,3.1
44,1900,3.9
36,1206,4.0
43,1801,2.6
2,1125,4.0
5,1157,4.3
8,1232,3.8
46,1368,1.2
29,1050,1.4
31,1202,4.4
1,2026,1.7
48,1993,4.6
36,1097,3.7
8,1008,1.9
41,1981,3.1
25,1288,2.9
32,2076,3.2
11,1630,2.5
6,1490,4.1
20,1237,2.0
6,1039,2.5
7,1432,4.5
15,1954,2.9
9,1951,2.5
36,1794,2.2
23,1120,3.6
7,1013,3.9
48,1101,2.0
44,1230,3.7
28,1370,1.8
44,1864,3.5
47,1425,1.1
31,1555,1.6
48,1973,1.1
29,1021,4.6
31,2076,4.0
39,1029,4.8
31,1641,2.0
29,1475,1.4
47,2044,4.5
25,1315,4.3
1,1078,3.8
27,1214,2.7
47,1340,1.0
5,1510,4.5
27,1905,1.7
33,1356,3.8
25,1138,2.6
21,1111,4.0
1,1155,2.0
29,1202,3.9
47,1563,1.0
41,1967,1.1
39,1292,1.5
21,1640,2.5
19,1617,1.7
13,1226,4.9
22,1712,1.3
49,1486,4.2
44,1707,3.6
43,1706,4.0
43,1477,1.2
10,1404,2.3
11,2069,4.8
47,1755,3.5
9,1731,2.1
2,1058,4.2
7,1200,4.1
5,2039,4.9
4,1691,4.6
48,2042,1.9
26,1075,4.2
23,1432,1.7
28,1444,4.6
38,1863,3.6
17,1733,3.8
48,1422,1.9
16,1811,3.6
18,1670,2.7
19,1436,2.1
7,2099,3.8
11,1462,2.0
15,1158,3.1
34,1296,2.1
31,1329,2.5
9,1348,3.7
27,1635,4.7
1,1224,2.4
16,1408,1.3
11,1404,2.0
27,1521,4.7
37,1761,4.8
1,1361,2.0
42,2005,4.3
48,1072,2.6
26,1287,2.6
42,1103,2.8
36,1406,3.1
17,1556,2.1
17,1600,2.6
3,1975,4.6
49,1617,4.0
9,2099,4.2
32,1558,3.6
9,1956,3.4
23,1094,2.2
11,1155,3.0
45,1517,1.7
26,1777,1.2
11,1884,4.6
23,1430,4.9
37,1641,1.0
15,1842,4.2
42,1078,4.0
22,2030,1.8
12,1882,1.6
39,1036,2.2
12,1272,3.1
40,1189,4.3
41,1768,3.5
36,2051,3.6
49,2041,2.0
25,1625,1.4
44,1974,4.9
22,1727,1.2
13,2000,1.6
29,1859,1.4
32,1025,1.9
38,1476,2.6
1,1147,4.8
3,1893,4.6
15,1503,2.3
31,1266,1.5
12,1360,2.7
36,1720,4.2
31,1268,1.3
4,1055,1.6
18,1817,2.1
20,1104,1.3
20,1818,2.4
11,2082,1.4
29,1814,3.0
49,1927,3.0
15,1348,4.9
19,1368,2.9
21,1625,5.0
42,1403,3.3
45,1541,4.7
20,1041,1.3
36,2069,3.3
42,1684,2.6
5,1679,3.0
9,2009,3.4
44,1617,3.4
13,1075,4.8
48,1782,4.0
43,1593,3.8
11,1445,1.2
34,1453,2.7
28,1458,1.0
38,1959,4.0
14,1285,4.0
48,1091,3.2
5,1583,1.2
17,1534,3.3
8,1538,4.6
33,1550,4.0
32,1704,3.9
19,1428,3.9
2,1128,4.1
8,1649,2.3
15,1664,4.5
33,1057,1.5
29,1087,3.5
23,1729,2.1
44,1544,4.8
48,1178,3.0
30,1368,3.2
39,1698,3.7
8,1825,3.8
20,1982,4.2
7,1810,3.0
24,1083,3.3
21,1714,4.2
43,1078,2.7
6,1557,1.5
17,1931,2.6
32,1768,3.3
32,2100,1.7
1,1852,1.1
8,1546,3.7
27,1048,4.3
35,1031,4.4
31,1608,4.1
26,2043,2.1
23,1551,1.4
11,1911,4.5
24,1823,4.3
9,1644,3.4
32,1293,1.4
41,1852,2.7
14,1713,4.6
41,1088,2.7
39,1421,2.4
24,1052,3.5
41,1991,1.4
20,1656,2.8
24,2013,1.1
4,1944,3.1
9,1839,4.9
13,1956,2.0
43,2046,1.3
39,1187,4.5
7,1580,3.6
28,1534,1.7
3,1473,2.5
24,1082,3.4
3,1071,1.3
36,1059,4.3
45,1718,4.1
7,1379,4.1
17,1069,3.5
19,1199,1.4
28,1921,1.4
2,2023,3.9
20,1156,1.1
13,1622,3.6
22,1433,1.9
19,1103,3.2
39,2093,2.5
20,1398,4.2
42,1943,3.7
19,1621,2.5
45,1405,4.4
7,1879,1.3
32,1911,1.5
1,1750,2.0
16,1129,1.2
31,1243,4.8
48,1576,3.2
39,1267,2.6
21,2038,2.8
18,1339,1.1
27,1700,1.9
22,1783,1.4
40,1190,1.8
19,1116,3.5
26,1939,1.4
16,1124,4.5
3,1957,3.8
44,1834,1.8
25,1025,3.2
32,1511,4.3
31,1132,1.9
19,1346,3.0
21,1540,3.9
37,1903,4.6
25,1540,4.7
49,1700,2.4
28,1340,4.5
37,1432,1.1
21,1368,4.9
20,1461,4.8
38,1487,2.2
34,1424,1.1
34,1278,1.2
35,1447,1.2
3,2072,3.4
25,1384,3.4
27,2084,2.0
4,1597,3.3
37,2008,3.9
40,1448,2.1
34,1985,1.0
32,1307,3.9
12,1412,3.3
3,1042,2.4
27,1681,2.9
13,1990,3.1
31,1448,3.9
3,1620,1.2
23,1438,4.5
18,1647,2.3
46,1179,1.3
28,1491,4.8
14,1488,2.1
37,1028,3.4
8,1122,1.9
22,1731,1.0
37,1064,3.1
21,2076,2.5
25,2010,2.9
37,1851,1.3
44,1886,2.1
15,1359,3.4
37,1153,3.5
26,1961,4.7
25,1570,4.6
39,1565,1.1
38,1854,1.6
4,1030,2.3
45,2014,3.2
29,1467,3.1
22,1218,4.4
6,1777,3.5
23,1973,4.7
29,2098,1.8
16,1580,1.1
42,1434,3.7
11,1127,2.6
33,1866,3.7
20,1993,4.2
3,1113,2.3
45,1444,1.3
20,1574,3.4
39,1177,2.6
32,1971,3.9
6,1803,1.5
4,1105,3.5
19,1943,1.2
7,1225,3.7
10,1984,3.7
12,1804,1.9
23,1266,1.9
9,1707,2.0
25,1069,4.5
47,1998,3.9
47,1750,3.3
29,1196,2.5
38,1019,2.7
31,1847,2.2
49,1281,4.6
11,1937,2.3
43,1117,4.6
8,1386,1.6
16,1181,4.1
21,1807,3.9
47,1651,3.3
7,1368,3.5
11,1595,3.6
24,1566,4.7
43,1963,4.8
38,2031,2.7
29,1682,1.0
6,1317,2.0
15,1848,2.4
11,1351,1.6
12,1597,1.9
15,1374,2.7
32,1364,4.9
28,1175,4.6
36,1589,3.8
18,1010,2.7
28,1039,3.0
17,1389,2.5
38,1148,4.9
42,2017,1.3
27,2020,3.4
27,2050,2.6
8,1389,3.9
27,1666,3.7
6,1753,1.8
48,1111,2.3
2,1782,4.3
23,1327,3.7
6,1541,4.3
6,1886,1.3
15,1160,1.8
45,1162,3.4
41,1592,4.8
40,1833,3.2
35,1400,1.9
36,1628,2.2
1,2017,3.5
36,1566,1.4
10,1539,4.6
34,1672,3.2
12,1231,4.2
17,1630,2.8
48,1887,3.1
18,1032,4.6
5,1337,3.3
36,1453,2.9
31,2035,3.3
22,1838,1.8
23,1691,4.3
4,2088,3.0
34,1561,3.0
9,1515,3.3
43,1155,1.7
2,1535,1.6
3,1019,2.2
39,1794,2.8
37,1652,1.8
7,1633,1.7
1,2063,4.6
32,1167,3.1
33,1157,3.3
9,1408,4.0
12,1667,2.6
16,1261,1.7
43,1908,4.8
29,1621,4.9
9,1888,3.8
43,1281,3.7
35,1041,4.8
24,2024,3.2
46,1562,1.8
1,1826,4.6
44,1527,3.9
33,1884,2.7
2,1372,2.4
25,1102,1.6
35,2039,1.6
40,2039,1.5
10,1078,4.0
5,1200,3.6
29,2081,4.1
22,1628,4.7
30,1079,1.6
39,1252,3.9
25,1039,1.9
37,1679,3.7
24,1018,4.6
33,1012,2.3
1,1673,2.2
16,1996,2.9
23,1179,2.7
44,1513,1.4
1,1737,2.8
19,1673,3.8
16,1163,2.3
26,1671,4.7
20,1189,1.9
32,1192,1.6
38,1035,3.9
20,1544,1.6
47,1461,4.9
25,1083,4.2
41,1738,3.2
16,1255,1.1
41,1123,3.3
46,1904,3.5
41,1534,4.0
29,1431,2.4
4,1872,2.7
11,1265,2.5
48,1802,3.7
21,1858,4.1
16,1900,4.8
17,1754,3.3
23,1414,4.8
39,1461,2.8
13,1974,3.5
2,1700,1.8
19,1054,2.6
41,1419,1.2
8,1926,1.7
28,1658,3.7
29,1083,2.2
34,1653,1.9
39,1922,2.6
5,1523,2.9
25,1458,1.0
43,1201,4.9
47,1086,3.6
45,1739,4.2
49,1929,2.7
49,1823,2.5
38,1872,3.9
11,1091,1.5
16,2023,4.8
45,1718,1.7
21,1608,4.4
33,1516,2.3
6,1507,1.4
49,1394,2.3
19,1511,4.8
31,1651,2.0
49,1596,2.2
44,1813,4.0
34,1150,2.8
33,1809,1.5
18,1317,1.7
40,1997,3.3
9,1621,4.4
9,1811,4.5
21,1951,3.7
38,1225,3.1
21,1065,2.9
48,1234,4.6
24,1532,1.1
6,1457,3.3
7,1970,4.8
42,1803,1.0
24,1955,3.8
14,1040,2.0
44,1820,2.1
45,1309,3.1
9,2092,2.6
8,2054,2.3
27,1581,3.4
29,1559,2.2
16,1354,2.0
49,1053,2.4
28,1529,1.9
40,1582,3.5
48,1871,2.9
9,2038,2.2
7,1876,1.9
38,1286,2.2
39,1263,4.8
32,1775,3.3
44,1229,4.5
9,1514,4.9
26,1168,1.9
4,2084,2.1
17,2084,4.9
48,1163,4.3
26,1767,1.1
12,1528,2.3
30,1700,3.6
14,1478,4.8
36,2048,3.7
24,1016,1.3
26,1215,3.9
42,1167,2.8
19,1673,3.8
16,1458,2.3
33,1920,3.1
25,1577,4.6
49,1247,4.2
34,1463,3.0
47,2040,2.3
47,1030,2.9
30,1863,4.1
37,1908,4.1
39,1591,1.5
20,2056,3.7
18,1262,4.4
36,1279,4.5
39,1548,2.7
16,1253,3.4
46,1555,1.5
20,1870,4.7
27,1083,3.0
1,1964,1.9
32,1723,2.7
22,1397,1.8
39,1700,4.6
45,2033,1.1
3,1352,3.8
1,1667,3.1
2,1404,2.9
2,1724,1.4
15,1944,1.7
4,1434,3.8
40,1439,3.6
13,1335,3.3
17,1573,1.5
1,1829,3.2
48,1499,1.6
2,1898,3.1
8,1871,4.9
17,1907,4.7
36,1909,3.3
11,1082,3.1
46,1480,3.8
32,1281,1.7
3,1173,3.6
41,1761,1.6
16,1645,3.0
8,2024,4.8
24,1248,2.2
47,1356,1.7
14,1170,1.8
27,1024,2.6
37,1508,4.0
22,1903,4.0
3,2080,3.5
46,1018,1.6
48,1258,3.8
46,2083,3.4
21,1268,2.6
26,1512,2.8
15,1143,2.2
17,1840,3.2
47,1172,2.2
20,1711,1.8
35,1653,4.9
12,1295,4.7
3,1218,4.4
12,1019,3.4
3,1667,4.2
30,1907,2.0
39,1663,3.7
13,2036,3.1
5,1054,1.9
43,1362,2.8
36,1791,1.7
22,1426,2.6
15,1922,3.1
6,1233,2.8
23,1653,4.9
22,1426,3.4
10,1682,1.4
32,1236,4.4
22,1973,2.8
24,2013,2.5
30,1707,3.2
41,1087,2.8
38,1799,4.4
23,1468,4.4
32,1474,1.9
25,1906,4.1
40,1978,1.2
34,1462,1.5
20,1595,2.1
21,1775,1.3
14,2004,3.0
40,1400,1.1
21,1197,3.7
34,1028,3.1
38,1087,3.6
21,1013,4.7
14,1727,1.8
28,1308,3.6
45,1643,2.8
20,1409,4.8
30,1649,2.1
27,1927,3.6
19,1962,4.4
8,1737,2.2
8,1890,2.3
46,1526,3.8
38,1061,2.8
34,1297,2.7
34,1305,4.9
27,1558,1.9
38,1952,1.9
21,1451,2.8
8,1358,2.8
4,1009,4.9
7,1200,1.3
18,1675,4.8
8,1031,1.7
26,1520,4.8
37,1968,2.2
